Q14865364	dopamine:sodium symporter activity	Q22290488	dopamine uptake
Q21133640	protein histidine kinase activity	Q21757752	peptidyl-histidine phosphorylation
Q21134199	13-prostaglandin reductase activity	Q14881697	prostaglandin metabolic process
Q21134879	thiocyanate peroxidase activity	Q21134878	thiocyanate metabolic process
Q21135415	borate transmembrane transporter activity	Q21135412	borate transmembrane transport
Q21135939	short-chain fatty acid uptake transporter activity	Q22290655	short-chain fatty acid transport
Q21135950	nicotinate transporter activity	Q22290631	nicotinate transport
Q21136004	RNA transmembrane transporter activity	Q21105696	RNA transport
Q21136424	pseudouridylate synthase activity	Q21108646	pseudouridine synthesis
Q21149564	oligopeptide transporter activity	Q21111799	oligopeptide transport
Q21155733	ceramide 1-phosphate transporter activity	Q22290306	ceramide 1-phosphate transport
Q21156482	interferon-gamma receptor activity	Q14865330	interferon-gamma-mediated signaling pathway
Q21173348	adenosine kinase activity	Q14914062	AMP biosynthetic process
Q21173529	putrescine transmembrane transporter activity	Q21173530	putrescine transport
Q21173628	interleukin-9 receptor activity	Q21173629	interleukin-9-mediated signaling pathway
Q21173775	pyruvate transmembrane transporter activity	Q22290608	pyruvate transmembrane transport
Q21173912	RNA trimethylguanosine synthase activity	Q21173914	7-methylguanosine cap hypermethylation
Q21174006	sialic acid transmembrane transporter activity	Q21174007	sialic acid transport
Q21199040	sigma factor activity	Q21135043	regulation of DNA-templated transcription, initiation
Q21199051	tryptophan synthase activity	Q21198662	tryptophan biosynthetic process
Q21199125	branched-chain amino acid transmembrane transporter activity	Q21141820	branched-chain amino acid transport
Q21199362	biotin transporter activity	Q21127148	biotin transport
Q21109765	oxalate transmembrane transporter activity	Q21109769	oxalate transport
Q21109878	exoribonuclease activity	Q21095166	RNA phosphodiester bond hydrolysis, exonucleolytic
Q21109887	protein tyrosine kinase collagen receptor activity	Q21109888	collagen-activated tyrosine kinase receptor signaling pathway
Q21109902	leukotriene-B4 20-monooxygenase activity	Q21109916	leukotriene B4 catabolic process
Q21109924	L-ornithine transmembrane transporter activity	Q22290526	L-ornithine transmembrane transport
Q21109926	arginine transmembrane transporter activity	Q21759811	arginine transmembrane transport
Q21109927	L-lysine transmembrane transporter activity	Q21109925	L-lysine transmembrane transport
Q21110078	histone acetyltransferase regulator activity	Q14908012	regulation of histone acetylation
Q21110080	lipid kinase activity	Q14913838	lipid phosphorylation
Q21110135	peptidyl-proline dioxygenase activity	Q22276613	peptidyl-proline hydroxylation
Q21110333	histone acetyltransferase activity (H4-K12 specific)	Q21097189	histone H4-K12 acetylation
Q21110412	N6-threonylcarbomyladenosine methylthiotransferase activity	Q21110413	tRNA methylthiolation
Q21110778	corticotrophin-releasing factor receptor activity	Q21108165	cellular response to corticotropin-releasing hormone stimulus
Q21110779	corticotropin-releasing hormone receptor activity	Q14859573	hormone-mediated signaling pathway
Q21110826	cargo receptor activity	Q189814	endocytosis
Q21110886	protein phosphatase regulator activity	Q14908111	regulation of phosphoprotein phosphatase activity
Q21110899	cholecystokinin receptor activity	Q21110900	cholecystokinin signaling pathway
Q21110940	cannabinoid receptor activity	Q21110941	cannabinoid signaling pathway
Q21111094	annealing helicase activity	Q14818000	DNA strand renaturation
Q21111142	purine nucleotide transmembrane transporter activity	Q21111143	purine nucleotide transport
Q21111161	acetylcholine receptor activity	Q14890354	synaptic transmission, cholinergic
Q21111222	adenine transmembrane transporter activity	Q21111223	adenine transport
Q21207388	peptide-O-fucosyltransferase activity	Q21095677	protein O-linked fucosylation
Q21209181	GDP-L-fucose synthase activity	Q22278690	GDP-L-fucose biosynthetic process
Q21209194	glucose-6-phosphate transmembrane transporter activity	Q21103114	glucose-6-phosphate transport
Q21209361	all-trans-retinol 13,14-reductase activity	Q14864352	retinol metabolic process
Q21296418	tryptophanase activity	Q14877303	tryptophan catabolic process
Q21416530	enterobactin transporter activity	Q21416529	enterobactin transport
Q21416532	sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential	Q14873905	regulation of cardiac muscle cell membrane potential
Q22312539	protein binding, bridging involved in substrate recognition for ubiquitination	Q3547638	protein ubiquitination
Q22312550	TFIIB-class transcription factor binding involved in viral suppression of host transcription initiation from RNA polymerase II promoter	Q22253547	suppression by virus of host transcription initiation from RNA polymerase II promoter
Q22312555	protein binding involved in cell adhesion	Q187640	cell adhesion
Q22312556	protein binding involved in cell-matrix adhesion	Q14819480	cell-matrix adhesion
Q22312558	protein binding involved in cell-cell adhesion	Q22294691	cell-cell adhesion
Q22312559	cell adhesive protein binding involved in SA cardiac muscle cell-atrial cardiac muscle cell communication	Q22299268	SA node cell-atrial cardiac muscle cell adhesion involved in cell communication
Q22312560	cell adhesive protein binding involved in Purkinje myocyte-ventricular cardiac muscle cell communication	Q22299253	Purkinje myocyte-ventricular cardiac muscle cell adhesion involved in cell communication
Q22312561	cell adhesive protein binding involved in atrial cardiac muscle cell-AV node cell communication	Q22299267	atrial cardiac muscle cell-AV node cell adhesion involved in cell communication
Q22312563	protein binding involved in negative regulation of telomere maintenance via telomerase	Q21104926	negative regulation of telomere maintenance via telomerase
Q22312591	TBP-class protein binding involved in viral suppression of host transcription initiation from RNA polymerase II promoter	Q22253547	suppression by virus of host transcription initiation from RNA polymerase II promoter
Q21111335	NF-kappaB-inducing kinase activity	Q21100852	NIK/NF-kappaB signaling
Q21111386	voltage-gated sodium channel activity involved in AV node cell action potential	Q21111383	membrane depolarization during AV node cell action potential
Q21111387	voltage-gated sodium channel activity involved in bundle of His cell action potential	Q21111385	membrane depolarization during bundle of His cell action potential
Q21111388	voltage-gated sodium channel activity involved in Purkinje myocyte action potential	Q21111384	membrane depolarization during Purkinje myocyte cell action potential
Q21112936	protein methyltransferase activity	Q14876922	protein methylation
Q21112937	histone-arginine N-methyltransferase activity	Q21130991	histone arginine methylation
Q21112940	protein-arginine omega-N asymmetric methyltransferase activity	Q21112938	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine
Q21112942	histone methyltransferase activity (H3-R17 specific)	Q21112941	histone H3-R17 methylation
Q21112980	Lys48-specific deubiquitinase activity	Q21097544	protein K48-linked deubiquitination
Q21113080	choline transmembrane transporter activity	Q14905712	choline transport
Q21113091	histone demethylase activity (H3-trimethyl-K4 specific)	Q21113092	histone H3-K4 demethylation, trimethyl-H3-K4-specific
Q21113109	MHC class II protein binding, via antigen binding groove	Q21095634	MHC class II protein complex binding
Q21113121	interleukin-8 receptor activity	Q21113122	interleukin-8-mediated signaling pathway
Q21113139	gap junction hemi-channel activity	Q15330512	gap junction channel activity
Q21113147	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling	Q21113144	AV node cell to bundle of His cell communication by electrical coupling
Q21113336	neurotransmitter transporter activity	Q14860824	neurotransmitter transport
Q21113343	neuropeptide receptor activity	Q14819784	neuropeptide signaling pathway
Q21113857	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	Q21113856	oligosaccharide-lipid intermediate biosynthetic process
Q21114285	dolichyl-phosphate-mannose-protein mannosyltransferase activity	Q21095611	protein O-linked mannosylation
Q21498881	prolactin receptor activity	Q21154920	prolactin signaling pathway
Q21499176	protein ADP-ribosylase activity	Q21104979	protein ADP-ribosylation
Q21750223	L-valine transmembrane transporter activity	Q21750226	L-valine transmembrane transport
Q21750228	nitrite transmembrane transporter activity	Q21124072	nitrite transport
Q21756239	inorganic anion transmembrane transporter activity	Q14907461	inorganic anion transport
Q21756257	maltose transmembrane transporter activity	Q22292319	maltose transport
Q21756300	organic phosphonate transmembrane transporter activity	Q21978531	organic phosphonate transport
Q21756581	ATPase-coupled vitamin B12 transmembrane transporter activity	Q14859653	cobalamin transport
Q21756766	quinolinate synthetase A activity	Q14877308	quinolinate biosynthetic process
Q21757740	phosphorelay response regulator activity	Q21114947	phosphorelay signal transduction system
Q21757807	siderophore transmembrane transporter activity	Q21758970	siderophore transmembrane transport
Q22312779	MHC class I protein binding, via antigen binding groove	Q21108806	MHC class I protein complex binding
Q22312821	netrin receptor binding	Q14905676	netrin-activated signaling pathway
Q22312824	fibroblast growth factor receptor antagonist activity	Q14897869	negative regulation of fibroblast growth factor receptor signaling pathway
Q22312826	activin receptor antagonist activity	Q14904862	negative regulation of activin receptor signaling pathway
Q22312827	activin receptor antagonist activity involved in negative regulation of nodal signaling pathway	Q21131496	negative regulation of nodal signaling pathway
Q22313135	pattern binding	Q22243599	pattern recognition receptor activity
Q22313865	molecular function regulator	Q22260622	regulation of molecular function
Q22313879	DNA topoisomerase (ATP-hydrolyzing) regulator activity	Q22299591	regulation of DNA topoisomerase (ATP-hydrolyzing) activity
Q22313880	DNA topoisomerase (ATP-hydrolyzing) activator activity	Q21101116	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity
Q22313881	DNA topoisomerase (ATP-hydrolyzing) inhibitor activity	Q22299592	negative regulation of DNA topoisomerase (ATP-hydrolyzing) activity
Q22313892	peptidase regulator activity	Q21115381	regulation of peptidase activity
Q22313900	endopeptidase regulator activity	Q14916426	regulation of endopeptidase activity
Q22313903	ubiquitin ligase activator activity	Q22245000	positive regulation of ubiquitin protein ligase activity
Q22313904	single-stranded DNA endodeoxyribonuclease activator activity	Q21467805	positive regulation of endodeoxyribonuclease activity
Q22313914	cyclin-dependent protein serine/threonine kinase activator activity	Q15311859	positive regulation of cyclin-dependent protein serine/threonine kinase activity
Q22313915	exoribonuclease activator activity	Q21133132	positive regulation of nuclease activity
Q22313965	deoxyribonuclease inhibitor activity	Q22244447	negative regulation of deoxyribonuclease activity
Q22313987	ornithine carbamoyltransferase inhibitor activity	Q22305798	regulation of ornithine metabolic process
Q22314132	cyclase regulator activity	Q21110958	regulation of cyclase activity
Q21114339	cysteine transmembrane transporter activity	Q22290575	cysteine transmembrane transport
Q21114350	uridine kinase activity	Q14859868	UMP biosynthetic process
Q21114615	glycolipid transporter activity	Q22292444	glycolipid transport
Q21114805	histone demethylase activity (H4-K20 specific)	Q21114804	histone H4-K20 demethylation
Q21115071	endoribonuclease activity, cleaving miRNA-paired mRNA	Q21105855	mRNA cleavage involved in gene silencing by miRNA
Q21115208	apolipoprotein A-I receptor activity	Q21096377	apolipoprotein A-I-mediated signaling pathway
Q21115260	heme-transporting ATPase activity	Q22291692	heme transmembrane transport
Q21115269	acetyl-CoA transporter activity	Q22292206	acetyl-CoA transport
Q21115294	acyl carrier activity	Q14860449	fatty acid biosynthetic process
Q21115311	bicarbonate transmembrane transporter activity	Q14864709	bicarbonate transport
Q21115315	calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential	Q14873905	regulation of cardiac muscle cell membrane potential
Q21115364	monovalent inorganic cation transmembrane transporter activity	Q21102081	monovalent inorganic cation transport
Q21115597	JAK pathway signal transduction adaptor activity	Q14820595	regulation of JAK-STAT cascade
Q21115604	placental growth factor-activated receptor activity	Q21115601	vascular endothelial growth factor receptor-1 signaling pathway
Q21115750	mevalonate transmembrane transporter activity	Q21115751	mevalonate transport
Q21115797	dicarboxylic acid transmembrane transporter activity	Q14905284	dicarboxylic acid transport
Q21758315	polysaccharide transmembrane transporter activity	Q22292328	polysaccharide transport
Q21758859	rRNA (guanine-N7-)-methyltransferase activity	Q21469656	rRNA (guanine-N7)-methylation
Q21759071	lipid-linked peptidoglycan transporter activity	Q22292023	lipid-linked peptidoglycan transport
Q21759143	chromate transmembrane transporter activity	Q22293029	chromate transport
Q21759239	nicotinamide riboside transmembrane transporter activity	Q22292051	nicotinamide riboside transport
Q21759291	ethanolamine transmembrane transporter activity	Q22290505	ethanolamine transport
Q21760014	benzoate transporter activity	Q22290323	benzoate transport
Q22314375	nitric oxide sensor activity	Q14907792	response to nitric oxide
Q22314474	calcium ion binding involved in regulation of cytosolic calcium ion concentration	Q14821006	regulation of cytosolic calcium ion concentration
Q22314478	calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q22314482	calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q22314566	triplet codon-amino acid adaptor activity	Q211935	protein biosynthesis
Q21761030	gamma-aminobutyric acid transmembrane transporter activity	Q21121365	gamma-aminobutyric acid transport
Q21761041	site-specific DNA-methyltransferase (adenine-specific) activity	Q22260820	DNA methylation on adenine
Q21761160	spermidine transmembrane transporter activity	Q22290731	spermidine transmembrane transport
Q21762339	gluconate transmembrane transporter activity	Q22290589	gluconate transmembrane transport
Q21762613	serine transmembrane transporter activity	Q22290668	serine transport
Q21762635	2-iminoacetate synthase activity	Q21198654	thiamine biosynthetic process
Q22243597	diuretic hormone receptor activity	Q14859573	hormone-mediated signaling pathway
Q22243608	ethylene receptor activity	Q22243606	ethylene-activated signaling pathway
Q22243613	auxin receptor activity	Q22243610	auxin-activated signaling pathway
Q22243625	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	Q22243624	regulation of presynaptic membrane potential
Q22243657	purinergic receptor activity	Q22243656	purinergic receptor signaling pathway
Q22243679	interleukin-17A receptor activity	Q22243678	interleukin-17A-mediated signaling pathway
Q22243692	interleukin-35 receptor activity	Q22243690	interleukin-35-mediated signaling pathway
Q22243698	interleukin-13 receptor activity	Q22243696	interleukin-13-mediated signaling pathway
Q22243701	leptin receptor activity	Q14851917	leptin-mediated signaling pathway
Q22243721	type III interferon receptor activity	Q22243719	type III interferon signaling pathway
Q22243724	granulocyte macrophage colony-stimulating factor receptor activity	Q22243722	granulocyte-macrophage colony-stimulating factor signaling pathway
Q22243734	interleukin-15 receptor activity	Q21114151	interleukin-15-mediated signaling pathway
Q22243764	cytokinin receptor activity	Q22243874	cytokinin-activated signaling pathway
Q22243806	salty taste receptor activity	Q22243805	detection of chemical stimulus involved in sensory perception of salty taste
Q22243808	sweet taste receptor activity	Q21126647	detection of chemical stimulus involved in sensory perception of sweet taste
Q22243810	umami taste receptor activity	Q22243809	detection of chemical stimulus involved in sensory perception of umami taste
Q21118195	glycogen debranching enzyme activity	Q14902477	glycogen metabolic process
Q21118440	interleukin-21 receptor activity	Q21118441	interleukin-21-mediated signaling pathway
Q21118487	thrombopoietin receptor activity	Q21115671	thrombopoietin-mediated signaling pathway
Q21118636	lipoate synthase activity	Q21118635	lipoate biosynthetic process
Q21118890	nuclear export signal receptor activity	Q14905514	nuclear export
Q21119179	collagen receptor activity	Q21119180	collagen-activated signaling pathway
Q22243848	BMP receptor activity	Q14864806	BMP signaling pathway
Q22243858	VEGF-E-activated receptor activity	Q21105731	vascular endothelial growth factor receptor-2 signaling pathway
Q22243882	netrin receptor activity involved in chemoattraction	Q14903362	positive chemotaxis
Q22243883	netrin receptor activity involved in chemorepulsion	Q14912345	negative chemotaxis
Q22243885	TRAIL receptor activity	Q21100387	TRAIL-activated apoptotic signaling pathway
Q22243888	TNFSF11 receptor activity	Q14897632	TNFSF11-mediated signaling pathway
Q22243914	red or far-red light photoreceptor activity	Q14859551	red, far-red light phototransduction
Q22243916	red light photoreceptor activity	Q22243915	red light signaling pathway
Q22243919	far-red light photoreceptor activity	Q22243917	far-red light signaling pathway
Q22243920	leucokinin receptor activity	Q14859573	hormone-mediated signaling pathway
Q22275680	pyruvate synthase activity	Q14909041	acetyl-CoA biosynthetic process from pyruvate
Q22299537	host cell surface binding	Q22271501	multi-organism cellular process
Q21119481	somatostatin receptor activity	Q21119482	somatostatin signaling pathway
Q21119683	choline-phosphate cytidylyltransferase activity	Q21102319	CDP-choline pathway
Q21119759	GMP synthase activity	Q21119760	GMP synthase (glutamine-hydrolyzing) activity
Q21119760	GMP synthase (glutamine-hydrolyzing) activity	Q21119154	GMP biosynthetic process
Q21119976	mRNA (guanine-N7-)-methyltransferase activity	Q14908091	7-methylguanosine mRNA capping
Q21119976	mRNA (guanine-N7-)-methyltransferase activity	Q29572870	RNA 5'-cap (guanine-N7)-methylation
Q21120050	mannose transmembrane transporter activity	Q22292364	mannose transport
Q21120484	DNA primase activity	Q21118241	DNA replication, synthesis of RNA primer
Q21120561	3'-tRNA processing endoribonuclease activity	Q21120563	tRNA 3'-trailer cleavage, endonucleolytic
Q21120641	interleukin-18 receptor activity	Q21436506	interleukin-18-mediated signaling pathway
Q21120650	polynucleotide 3'-phosphatase activity	Q21120651	polynucleotide 3' dephosphorylation
Q21120740	L-amino acid transmembrane transporter activity	Q21120741	L-alpha-amino acid transmembrane transport
Q21120744	L-tryptophan transmembrane transporter activity	Q21104938	tryptophan transport
Q21120745	L-phenylalanine transmembrane transporter activity	Q21120746	phenylalanine transport
Q22316463	flavonol synthase activity	Q22283200	flavonol biosynthetic process
Q22316485	flavone synthase activity	Q22283192	flavone biosynthetic process
Q22316530	histone demethylase activity	Q21107558	histone demethylation
Q22316910	chlorophyllide a oxygenase activity	Q22316908	chlorophyllide a oxygenase [overall] activity
Q22316915	7-hydroxy-chlorophyllide a oxygenase activity	Q22316908	chlorophyllide a oxygenase [overall] activity
Q22317264	hercynylcysteine sulfoxide synthase	Q22274965	ergothioneine biosynthetic process
Q21107046	gap junction channel activity involved in cardiac conduction electrical coupling	Q14905743	cell communication by electrical coupling involved in cardiac conduction
Q21121083	methotrexate transporter activity	Q22290318	methotrexate transport
Q21121251	UDP-galactose transmembrane transporter activity	Q22290364	UDP-galactose transmembrane transport
Q21121254	CMP-N-acetylneuraminate transmembrane transporter activity	Q21121255	CMP-N-acetylneuraminate transport
Q21121258	L-alanine transmembrane transporter activity	Q21121260	L-alanine transport
Q21121259	L-proline transmembrane transporter activity	Q21121261	proline transmembrane transport
Q21121266	pyrimidine nucleotide-sugar transmembrane transporter activity	Q22290363	pyrimidine nucleotide-sugar transmembrane transport
Q21121285	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity	Q21121286	3'-phospho-5'-adenylyl sulfate transmembrane transport
Q21121299	UDP-glucuronic acid transmembrane transporter activity	Q21121300	UDP-glucuronic acid transport
Q21121305	fatty acid transmembrane transporter activity	Q14864580	fatty acid transport
Q21121322	ATP transmembrane transporter activity	Q15330534	ATP transport
Q21121325	coenzyme A transmembrane transporter activity	Q22290386	coenzyme A transmembrane transport
Q21121326	ADP transmembrane transporter activity	Q21121324	ADP transport
Q21121328	AMP transmembrane transporter activity	Q21121327	AMP transport
Q21121337	pyrimidine nucleotide transmembrane transporter activity	Q21121336	pyrimidine nucleotide transport
Q21121344	formate transmembrane transporter activity	Q21121345	formate transport
Q21121406	citrate transmembrane transporter activity	Q21124416	citrate transport
Q21121417	carbohydrate kinase activity	Q14863084	carbohydrate phosphorylation
Q21121612	luteinizing hormone receptor activity	Q14914543	luteinizing hormone signaling pathway
Q21121674	tetracycline transporter activity	Q22290406	tetracycline transport
Q21121802	phosphatidylinositol phosphate kinase activity	Q14887688	phosphatidylinositol phosphorylation
Q21122242	tRNA methyltransferase activity	Q21108966	tRNA methylation
Q21122381	creatine transmembrane transporter activity	Q21971196	creatine transport
Q21107132	polynucleotide 5'-phosphatase activity	Q21107133	polynucleotide 5' dephosphorylation
Q21107140	tRNA dihydrouridine synthase activity	Q21107139	tRNA dihydrouridine synthesis
Q21107147	MAP kinase phosphatase activity	Q14912630	inactivation of MAPK activity
Q21107294	histone demethylase activity (H3-K27 specific)	Q21114806	histone H3-K27 demethylation
Q21107341	methionyl-tRNA formyltransferase activity	Q14905693	translational initiation
Q21107341	methionyl-tRNA formyltransferase activity	Q21107342	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
Q21107351	tetrahydrofolylpolyglutamate synthase activity	Q21107350	tetrahydrofolylpolyglutamate biosynthetic process
Q21107378	folic acid receptor activity	Q14914290	folic acid transport
Q21107378	folic acid receptor activity	Q21107379	cellular response to folic acid
Q21107506	semaphorin receptor activity	Q21106148	semaphorin-plexin signaling pathway
Q21107559	histone demethylase activity (H3-K36 specific)	Q21107560	histone H3-K36 demethylation
Q21107797	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	Q14877145	inositol phosphate-mediated signaling
Q21107966	magnesium ion transmembrane transporter activity	Q21759645	magnesium ion transmembrane transport
Q21108046	cyclic pyranopterin monophosphate synthase activity	Q21108048	molybdopterin cofactor biosynthetic process
Q21108157	histone demethylase activity (H3-K9 specific)	Q21108158	histone H3-K9 demethylation
Q21108160	histone demethylase activity (H3-K4 specific)	Q21108155	histone H3-K4 demethylation
Q21108231	guanylate cyclase inhibitor activity	Q21108230	negative regulation of guanylate cyclase activity
Q21108296	tubulin deacetylase activity	Q21108297	tubulin deacetylation
Q21108542	endopeptidase activator activity	Q21108541	positive regulation of endopeptidase activity
Q21122394	aromatic amino acid transmembrane transporter activity	Q21122395	aromatic amino acid transport
Q21122479	FAD transmembrane transporter activity	Q22290380	FAD transmembrane transport
Q21122481	NAD transmembrane transporter activity	Q22290402	NAD transmembrane transport
Q21122751	L-threonine transmembrane transporter activity	Q21122754	threonine transport
Q21122753	L-hydroxyproline transmembrane transporter activity	Q21122752	hydroxyproline transport
Q21122877	tRNA (guanine-N7-)-methyltransferase activity	Q29572871	tRNA (guanine-N7)-methylation
Q21123306	pyridoxamine-phosphate oxidase activity	Q21123304	pyridoxal phosphate biosynthetic process
Q21123398	all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity	Q14864352	retinol metabolic process
Q21123399	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity	Q14864352	retinol metabolic process
Q21123412	sodium:proton antiporter activity involved in regulation of cardiac muscle cell membrane potential	Q14873905	regulation of cardiac muscle cell membrane potential
Q21123444	glucoside transmembrane transporter activity	Q21123445	glucoside transport
Q21123686	arginine deiminase activity	Q21123676	protein citrullination
Q21124077	transition metal ion transmembrane transporter activity	Q14914137	transition metal ion transport
Q21124343	palmitoyl hydrolase activity	Q21124342	macromolecule depalmitoylation
Q21124417	succinate transmembrane transporter activity	Q22290625	succinate transmembrane transport
Q21124437	rubidium ion transmembrane transporter activity	Q21124436	rubidium ion transport
Q21124473	RNA polymerase I core promoter sequence-specific DNA binding	Q22295267	RNA polymerase I transcriptional preinitiation complex assembly
Q21124814	zinc-transporting ATPase activity	Q14907989	zinc II ion transmembrane transport
Q21125091	L-asparagine transmembrane transporter activity	Q21125095	asparagine transport
Q21125093	L-histidine transmembrane transporter activity	Q22290539	L-histidine transmembrane transport
Q21125139	S-adenosyl-L-methionine transmembrane transporter activity	Q22290564	S-adenosyl-L-methionine transmembrane transport
Q21125212	protein-malonyllysine demalonylase activity	Q21125216	peptidyl-lysine demalonylation
Q21125213	protein-succinyllysine desuccinylase activity	Q21125211	peptidyl-lysine desuccinylation
Q21125219	protein-glutaryllysine deglutarylase activity	Q21125221	peptidyl-lysine deglutarylation
Q21125239	prostaglandin transmembrane transporter activity	Q22290646	prostaglandin transport
Q21125472	deoxynucleotide transmembrane transporter activity	Q21125483	deoxynucleotide transport
Q21125700	vitamin transporter activity	Q21110615	vitamin transport
Q21126251	nucleoside transmembrane transporter activity	Q22290396	nucleoside transmembrane transport
Q21126256	purine nucleoside transmembrane transporter activity	Q22290391	purine nucleoside transmembrane transport
Q21126832	sour taste receptor activity	Q21126825	detection of chemical stimulus involved in sensory perception of sour taste
Q21126855	tRNA guanylyltransferase activity	Q27982673	tRNA 5'-end processing
Q21126877	L-tyrosine transmembrane transporter activity	Q21126878	tyrosine transport
Q21127034	kinase inhibitor activity	Q15325691	negative regulation of kinase activity
Q21130007	receptor inhibitor activity	Q14914159	negative regulation of receptor activity
Q22321236	cytidine kinase activity	Q22275448	CMP biosynthetic process
Q22321238	deoxynucleoside kinase activity	Q14911885	deoxyribonucleoside monophosphate biosynthetic process
Q22321240	deoxyadenosine kinase activity	Q22275828	dAMP biosynthetic process
Q22321265	2-phosphoglycerate kinase activity	Q22283092	cyclic 2,3-bisphospho-D-glycerate biosynthetic process
Q22321276	histone kinase activity (H2A-S121 specific)	Q22284164	histone H2A-S121 phosphorylation
Q22321277	histone kinase activity (H2A-S139 specific)	Q15322288	histone H2A-S139 phosphorylation
Q22321278	histone kinase activity (H2B-S14 specific)	Q22284165	histone H2B-S14 phosphorylation
Q22321279	histone kinase activity (H2A-S1 specific)	Q21119243	histone H2A-S1 phosphorylation
Q22321280	histone kinase activity (H4-S1 specific)	Q22284166	histone H4-S1 phosphorylation
Q22321281	histone kinase activity (H3-S28 specific)	Q21119242	histone H3-S28 phosphorylation
Q22321282	histone threonine kinase activity	Q22284009	histone-threonine phosphorylation
Q22321283	histone tyrosine kinase activity	Q22284053	histone-tyrosine phosphorylation
Q22321293	JUN kinase kinase kinase kinase activity	Q22245244	activation of JNKKK activity
Q22321301	MAP kinase activity involved in innate immune response	Q22284228	MAPK cascade involved in innate immune response
Q22321310	protein kinase activity involved in regulation of protein localization to cell division site involved in cytokinesis	Q22302936	regulation of protein localization to cell division site involved in cytokinesis
Q22321355	trehalose transmembrane transporter activity	Q22292303	trehalose transport
Q22320268	7,8-dihydro-D-neopterin 2',3'-cyclic phosphate phosphodiesterase activity	Q22274854	methanopterin-containing compound biosynthetic process
Q22320269	protein adenylylhydrolase activity	Q21108580	protein adenylylation
Q22320269	protein adenylylhydrolase activity	Q22284195	protein deadenylylation
Q22321357	N-acetylgalactosamine transmembrane transporter activity	Q22292494	N-acetylgalactosamine transport
Q22321359	beta-glucoside transmembrane transporter activity	Q21422098	beta-glucoside transport
Q22321361	mannitol transmembrane transporter activity	Q21121352	mannitol transport
Q22321363	cellobiose transmembrane transporter activity	Q22292321	cellobiose transport
Q22321366	galactitol transmembrane transporter activity	Q22290436	galactitol transport
Q22321374	sucrose transmembrane transporter activity	Q22292295	sucrose transport
Q22321377	lactose transmembrane transporter activity	Q22292313	lactose transport
Q22321380	sorbitol transmembrane transporter activity	Q22290437	sorbitol transport
Q22321427	protein guanylyltransferase activity	Q22284113	protein guanylylation
Q22321455	RNA polymerase I activity	Q14908087	transcription from RNA polymerase I promoter
Q22321457	RNA polymerase III activity	Q14878261	transcription from RNA polymerase III promoter
Q22321459	RNA polymerase V activity	Q22281064	transcription from RNA polymerase V promoter
Q22321460	RNA polymerase IV activity	Q22281062	transcription from RNA polymerase IV promoter
Q22321461	bacterial-type RNA polymerase activity	Q22242440	transcription from bacterial-type RNA polymerase promoter
Q22321462	plastid PEP-B RNA polymerase activity	Q22280985	transcription from plastid promoter
Q22321463	plastid PEP-A RNA polymerase activity	Q22280985	transcription from plastid promoter
Q22321466	mitochondrial single subunit type RNA polymerase activity	Q21120064	transcription from mitochondrial promoter
Q22321467	plastid single subunit type RNA polymerase activity	Q22280985	transcription from plastid promoter
Q22321469	DNA polymerase activity	Q21101125	DNA biosynthetic process
Q22321478	O-acetylhomoserine aminocarboxypropyltransferase activity	Q21759438	'de novo' L-methionine biosynthetic process
Q22321518	Sep-tRNA:Cys-tRNA synthase activity	Q22280723	conversion of O-phosphoseryl-tRNA to cysteinyl-tRNA
Q22321584	kynurenine aminotransferase activity	Q21116229	L-kynurenine metabolic process
Q22321669	lipopolysaccharide glucosyltransferase II activity	Q21136059	lipopolysaccharide biosynthetic process
Q22321684	lipopolysaccharide glucosyltransferase I activity	Q21136059	lipopolysaccharide biosynthetic process
Q22320306	polynucleotide phosphatase activity	Q22278423	polynucleotide dephosphorylation
Q22320329	protein arginine phosphatase activity	Q22284247	peptidyl-N-phospho-arginine dephosphorylation
Q22320332	MAP kinase tyrosine phosphatase activity	Q21109572	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity
Q22320336	MAP kinase phosphatase activity involved in regulation of innate immune response	Q14913302	regulation of innate immune response
Q22320336	MAP kinase phosphatase activity involved in regulation of innate immune response	Q22245713	inactivation of MAPK activity involved in innate immune response
Q22320401	all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity	Q14864352	retinol metabolic process
