Q61387	nortriptyline	Q47521959	Pamelor
Q337668	acamprosate	Q47520844	Campral
Q338005	acarbose	Q47522010	Precose
Q340139	lorcaserin	Q47521244	Belviq
Q341500	acitretin	Q47522141	Soriatane
Q347337	balsalazide	Q47521386	Colazal
Q347337	balsalazide	Q47521649	Giazo
Q347613	valdecoxib	Q29004896	Bextra
Q347613	valdecoxib	Q29006625	Valdyn
Q347621	olsalazine	Q47521491	Dipentum
Q348260	adalimumab	Q29005938	Humira
Q348260	adalimumab	Q29006605	Trudexa
Q348922	busulfan	Q29004936	Busilvex
Q348922	busulfan	Q29004938	Busulfan Fresenius Kabi
Q348922	busulfan	Q47521293	Busulfex
Q348922	busulfan	Q47521861	Myleran
Q352348	adapalene	Q47521482	Differin
Q352348	adapalene	Q48826046	Proactiv with Adapalene
Q367700	cyclosporine	Q29005958	Ikervis
Q367700	cyclosporine	Q47521884	Neoral
Q367700	cyclosporine	Q47522080	Restasis
Q367700	cyclosporine	Q47522110	Sandimmune
Q367700	cyclosporine	Q48826125	Gengraf
Q367700	cyclosporine	Q48828863	Atopica
Q370244	delavirdine	Q47522079	RESCRIPTOR
Q372539	dalfampridine	Q29005853	Fampyra
Q372539	dalfampridine	Q47521044	Ampyra
Q375613	acetylcysteine	Q47520871	Acetadote
Q375613	acetylcysteine	Q47521344	Cetylev
Q384295	gemfibrozil	Q47521782	Lopid
Q385370	desoximetasone	Q47522217	Topicort
Q386119	Natalizumab	Q29006200	Natalizumab Elan Pharma
Q386119	Natalizumab	Q29006614	Tysabri
Q388801	furosemide	Q47521639	Lasix
Q389496	Obinutuzumab	Q29005896	Gazyvaro
Q395229	agomelatine	Q29006567	Thymanax
Q395229	agomelatine	Q29006623	Valdoxan
Q407172	chorionic gonadotropin	Q29006303	Ovitrelle
Q407431	warfarin	Q47521415	Coumadin
Q407431	warfarin	Q48828105	Jantoven
Q407535	oxycodone	Q47521956	Oxycontin
Q407535	oxycodone	Q47522101	Roxicodone
Q407535	oxycodone	Q47522102	Roxybond
Q407535	oxycodone	Q47522329	Xtampza
Q407535	oxycodone	Q48829220	Oxaydo
Q407535	oxycodone	Q48829339	Oxecta
Q407541	fentanyl	Q2898632	Actiq
Q407541	fentanyl	Q4669977	Abstral
Q407541	fentanyl	Q5316129	Duragesic
Q407541	fentanyl	Q29005770	Effentora
Q407541	fentanyl	Q29006021	Ionsys
Q407541	fentanyl	Q29006319	Pecfent
Q407541	fentanyl	Q47521604	Fentora
Q407541	fentanyl	Q47521758	Lazanda
Q407541	fentanyl	Q47522158	Subsys
Q407592	(R,R) tramadol	Q47521399	ConZip
Q407592	(R,R) tramadol	Q47522219	Ultram
Q407592	(R,R) tramadol	Q48828133	Ryzolt
Q407617	sertraline	Q47522126	Zoloft
Q407721	buprenorphine	Q47521241	Belbuca
Q407721	buprenorphine	Q47521290	Buprenex
Q407721	buprenorphine	Q47521297	BuTrans
Q409672	(RS)-citalopram	Q47521335	Celexa
Q411629	albendazole	Q47520992	Albenza
Q413717	(RS)-baclofen	Q47521643	Gablofen
Q413717	(RS)-baclofen	Q48829267	Lioresal
Q416760	mepivacaine	Q47521318	Carbocaine
Q416760	mepivacaine	Q47521722	Isocaine
Q416760	mepivacaine	Q48826418	Scandonest
Q416760	mepivacaine	Q48829094	Polocaine
Q422112	methylphenidate	Q5243626	Daytrana
Q422112	methylphenidate	Q10868995	Concerta
Q422112	methylphenidate	Q47521180	Aptensio
Q422112	methylphenidate	Q47521414	Cotempla
Q422112	methylphenidate	Q47521819	Metadate
Q422112	methylphenidate	Q47521825	Methylin
Q422112	methylphenidate	Q47521826	Ritalin
Q422112	methylphenidate	Q47522056	QuilliChew
Q422112	methylphenidate	Q47522057	Quillivant
Q422212	budesonide	Q47521282	Entocort
Q422212	budesonide	Q47521283	Pulmicort
Q422212	budesonide	Q47521284	Rhinocort
Q422212	budesonide	Q47522247	Uceris
Q422273	clindamycin	Q47521363	Cleocin
Q422273	clindamycin	Q47521367	Clindacin
Q422273	clindamycin	Q47521368	Clindagel
Q422273	clindamycin	Q47521369	Clindamax
Q422273	clindamycin	Q47521582	Evoclin
Q422273	clindamycin	Q48826141	Clindets
Q422273	clindamycin	Q48826299	Cleocin-T
Q422273	clindamycin	Q48828179	Clindesse
Q422273	clindamycin	Q48828827	ANTIROBE
Q425293	Fosinopril	Q48826091	Monopril
Q1060922	(RS)-oxybutynin	Q29006076	Kentera
Q1060922	(RS)-oxybutynin	Q47521494	Ditropan
Q1060922	(RS)-oxybutynin	Q47521646	Gelnique
Q1060922	(RS)-oxybutynin	Q47521957	Oxytrol
Q60235	caffeine	Q47521302	Cafcit
Q191924	D-methamphetamine	Q47521464	Desoxyn
Q28086552	(−)-nicotine	Q16976940	Nicotrol
Q3515	rabeprazole	Q47520876	Aciphex
Q7739	arsenic trioxide	Q29006598	Trisenox
Q18216	aspirin	Q10420388	aspirin
Q18216	aspirin	Q47521514	Durlaza
Q18936	doxorubicin	Q47520887	Adriamycin
Q18939	azathioprine	Q47521227	Azasan
Q18939	azathioprine	Q47521708	Imuran
Q19484	metformin	Q47521629	Fortamet
Q19484	metformin	Q47521656	Glucophage
Q19484	metformin	Q47521658	Glumetza
Q19484	metformin	Q47522094	Riomet
Q23767	calcium carbonate	Q2514011	Q2514011
Q26272	atropine	Q47521210	Atropen
Q26272	atropine	Q47521211	Isopto Atropine
Q26963	progesterone	Q5376364	Endometrin
Q26963	progesterone	Q47521419	Crinone
Q26963	progesterone	Q47522036	Prometrium
Q26963	progesterone	Q48826316	Prochieve
Q29310	tropicamide	Q48828648	Mydriacyl
Q29310	tropicamide	Q48829066	Mydral
Q29417	tretinoin	Q47521209	Atralin
Q29417	tretinoin	Q47522076	Renova
Q29417	tretinoin	Q47522082	Retin-A
Q29417	tretinoin	Q48826077	Avita
Q29417	tretinoin	Q48828338	Tretin X
Q29417	tretinoin	Q48829159	Refissa
Q32089	sirolimus	Q29006392	Rapamune
Q39111	nifedipine	Q47520879	Adalat
Q39111	nifedipine	Q47521894	Procardia
Q39111	nifedipine	Q48828793	Afeditab CR
Q39111	nifedipine	Q48828975	Nifedical
Q39111	nifedipine	Q48829197	Nifediac
Q41576	cocaine	Q48829055	Goprelto
Q52353	benzyl alcohol	Q47522248	Ulesfia
Q55434	pethidine	Q47521448	Demerol
Q57055	acetaminophen	Q47521665	Tylenol
Q57055	acetaminophen	Q47521928	Ofirmev
Q57055	acetaminophen	Q48826513	Midol Long Lasting Relief
Q57055	acetaminophen	Q48829111	Mapap
Q58396	imipramine	Q47522214	Tofranil
Q58397	amitriptyline	Q47521532	Elavil
Q58614	loxapine	Q29004379	Adasuve
Q58713	clomipramine	Q47521047	Anafranil
Q179452	DL-amphetamine	Q935761	Adderall
Q179452	DL-amphetamine	Q3332086	Benzedrine
Q179452	DL-amphetamine	Q47520980	Adzenys
Q179452	DL-amphetamine	Q47521519	Dyanavel
Q179452	DL-amphetamine	Q47521581	Evekeo
Q243547	ketamine	Q48825978	Ketalar
Q243547	ketamine	Q48826009	Ketathesia
Q243547	ketamine	Q48826132	Ketaset
Q243547	ketamine	Q48826235	Ketaved
Q243547	ketamine	Q48828311	Zetamine
Q243547	ketamine	Q48828933	Ketaject
Q243547	ketamine	Q48829264	Vetaket
Q386441	(RS)-meclizine	Q48826105	Wal-Dram 2
Q386441	(RS)-meclizine	Q48826109	Dramamine Less Drowsy
Q386441	(RS)-meclizine	Q48826280	Trav-L-Tabs
Q386441	(RS)-meclizine	Q48826492	Travel-Ease
Q386441	(RS)-meclizine	Q48826518	Verticalm
Q386441	(RS)-meclizine	Q48828278	Naus-ease
Q386441	(RS)-meclizine	Q48829051	Antivert
Q27075685	Capmatinib	Q94346006	Tabrecta
Q27077129	duvelisib	Q57665945	Copiktra
Q27077182	enasidenib	Q47521704	Idhifa
Q27077223	ertugliflozin	Q48828263	Steglatro
Q27077226	eslicarbazepine	Q47521181	Aptiom
Q27077698	fondaparinux	Q29004851	Arixtra
Q27086377	milnacipran	Q29005977	Impulsor
Q27086377	milnacipran	Q29006175	Milnacipran Pierre Fabre Medicament
Q27088289	pegaptanib	Q29006157	Macugen
Q27088552	ribociclib	Q47521742	Kisqali
Q27088955	tegaserod	Q29006729	Zelnorm
Q27089118	Valbenazine	Q47521714	Ingrezza
Q27094615	Kanamycin A	Q74804390	kanamycin (extract)
Q27139135	dasatinib monohydrate	Q29006504	Sprycel
Q6823309	metaxalone	Q47521820	Skelaxin
Q6823309	metaxalone	Q48829356	Metaxall
Q6824116	metirosine	Q47521449	Demser
Q6827850	micafungin	Q29006189	Mycamine
Q6901567	(Z)-ethanolamine oleate	Q47521575	Ethamolin
Q6913198	Moroctocog alfa	Q29006410	Refacto Af
Q6960846	Naldemedine	Q47522173	Symproic
Q6985503	Necitumumab	Q29006347	Portrazza
Q21011235	umeclidinium	Q29005982	Incruse
Q21011236	Dinutuximab	Q29006619	Unituxin
Q21098894	crisaborole	Q47521578	Eucrisa
Q21099132	alectinib	Q47520995	Alecensa
Q21284261	Patiromer	Q47522278	Veltassa
Q21506464	osimertinib	Q29006526	Tagrisso
Q21820633	Lesinurad	Q29006758	Zurampic
Q22075742	C1 Esterase Inhibitor (Human)	Q29005608	Cinryze
Q22075839	Asfotase Alfa	Q29006512	Strensiq
Q22075840	Methoxy polyethylene glycol-epoetin beta	Q29006179	Mircera
Q22075841	Simoctocog Alfa	Q29006244	Nuwiq
Q22075842	Turoctocog alfa	Q29006229	Novoeight
Q22075846	Peginterferon beta-1a	Q29006344	Plegridy
Q22075856	sonidegib	Q29006249	Odomzo
Q22075857	uridine triacetate	Q47522303	Vistogard
Q22075857	uridine triacetate	Q47522330	Xuriden
Q22075912	tenofovir alafenamide	Q47522279	Vemlidy
Q22668726	lipegfilgrastim	Q29006141	Lonquex
Q23044263	lifitegrast	Q47522325	Xiidra
Q23050139	ipratropium	Q47521212	Atrovent
Q23661325	Lumacaftor/ivacaftor	Q29006293	Orkambi
Q23671272	venetoclax	Q29006639	Venclyxto
Q23671272	venetoclax	Q47522280	Venclexta
Q24894808	Liraglutide/insulin degludek	Q29006701	Xultophy
Q25048068	Buprenorphine/naloxone	Q25048068	Buprenorphine/naloxone
Q6995920	neratinib	Q47521888	Nerlynx
Q6997373	Nesiritide	Q47521873	Natrecor
Q7041828	nivolumab	Q29006224	Nivolumab Bms
Q7041828	nivolumab	Q29006280	Opdivo
Q7083106	olaparib	Q29006151	Lynparza
Q7083108	Olaratumab	Q29006110	Lartruvo
Q7088466	olodaterol	Q47522156	Striverdi
Q7089373	(-)-homoharringtonine	Q47522179	Synribo
Q7102878	oritavancin	Q29006288	Orbactiv
Q7107372	ospemifene	Q29006473	Senshio
Q7107372	ospemifene	Q47521947	Osphena
Q7127523	Palifermin	Q29006077	Kepivance
Q7131441	panobinostat	Q29005856	Farydak
Q7157043	pazopanib	Q29006670	Votrient
Q7160547	Pegaspargase	Q29006271	Oncaspar
Q7160789	Peginterferon alfa-2b	Q29006322	Pegintron
Q7160789	Peginterferon alfa-2b	Q29006655	Viraferonpeg
Q7160794	Pegloticase	Q29006097	Krystexxa
Q7165276	Pentosan Polysulfate	Q47521541	Elmiron
Q7168152	perflenapent	Q29005761	Echogen
Q7227206	pomalidomide	Q29005973	Imnovid
Q7227206	pomalidomide	Q47522004	Pomalyst
Q7230068	Porfimer	Q29006335	Photobarr
Q7240593	Preotact	Q29006366	Preotact
Q7290345	ramucirumab	Q29005685	Cyramza
Q7307897	regadenoson	Q29006394	Rapiscan
Q7315650	Reslizumab	Q29005607	Cinqaero
Q7316645	retapamulin	Q29004415	Altargo
Q7316645	retapamulin	Q47521019	Altabax
Q729213	nicardipine	Q47521319	Cardene
Q733186	telmisartan	Q29006088	Kinzalmono
Q733186	telmisartan	Q29006173	Micardis
Q733186	telmisartan	Q29006369	Pritor
Q733186	telmisartan	Q29006543	Telmisartan Actavis
Q733186	telmisartan	Q29006544	Telmisartan Teva
Q733186	telmisartan	Q29006545	Telmisartan Teva Pharma
Q733186	telmisartan	Q29006575	Tolura
Q737743	doxapram	Q47521496	Dopram
Q749664	deferiprone	Q29005863	Ferriprox
Q753330	ataluren	Q29006589	Translarna
Q772735	miglitol	Q47521661	Glyset
Q773449	levothyroxine	Q47522207	Tirosint
Q773449	levothyroxine	Q48826289	Unithroid
Q773449	levothyroxine	Q48826384	Levothroid
Q773449	levothyroxine	Q48826479	Synthroid
Q773449	levothyroxine	Q48828869	Thyro-Tabs
Q779118	Deflazacort	Q47521545	Emflaza
Q782318	Verteporfin	Q29006659	Visudyne
Q794162	betaxolol	Q47521257	Betoptic
Q794162	betaxolol	Q47521261	Betoptic S
Q795057	cabozantinib	Q29005654	Cometriq
Q795057	cabozantinib	Q47521300	Cabometyx
Q808845	ceftazidime	Q47521331	Fortaz
Q808845	ceftazidime	Q48828936	Tazicef
Q821641	metyrapone	Q47521828	Metopirone
Q822884	carglumic acid	Q29004954	Carbaglu
Q827916	trimethadione	Q47522231	Tridione
Q834280	bupropion	Q47521061	Aplenzin
Q834280	bupropion	Q47521291	Wellbutrin
Q834280	bupropion	Q47521628	Forfivo
Q834280	bupropion	Q47522363	Zyban
Q834280	bupropion	Q48828815	Buproban
Q834280	bupropion	Q48829143	Budeprion
Q851813	methohexital	Q47521275	Brevital
Q3976820	Technetium (99mTc) sulesomab	Q29006122	Leukoscan
Q3981685	tazarotene	Q47521591	Fabior
Q3981685	tazarotene	Q47522185	TAZORAC
Q3981685	tazarotene	Q48826201	Avage
Q3993743	toremifene	Q29005855	Fareston
Q3997863	ado-trastuzumab emtansine	Q29006063	Kadcyla
Q4019783	Lidocaine/prilocaine	Q29005881	Fortacin
Q4019783	Lidocaine/prilocaine	Q48828833	Relador
Q4019783	Lidocaine/prilocaine	Q48829235	Oraqix
Q4197874	idebenone	Q29006405	Raxone
Q4197874	idebenone	Q29006499	Sovrima
Q4199443	iloperidone	Q47521593	Fanapt
Q4376623	prednicarbate	Q47522013	Dermatop
Q4391540	interferon Alfa-2b, Recombinant	Q4112532	Viferon
Q4391540	interferon Alfa-2b, Recombinant	Q4340338	Oftalmoferon
Q4391540	interferon Alfa-2b, Recombinant	Q29006010	Introna
Q4391540	interferon Alfa-2b, Recombinant	Q29006654	Viraferon
Q4413249	secnidazole	Q47522137	Solosec
Q4482372	fesoterodine	Q29006585	Toviaz
Q4533122	ethotoin	Q47521976	Peganone
Q4567614	mycophenolate mofetil	Q29004960	Cellcept
Q4567614	mycophenolate mofetil	Q29006190	Myclausen
Q4567614	mycophenolate mofetil	Q29006192	Mycophenolate Mofetil Teva
Q4567614	mycophenolate mofetil	Q29006193	Myfenax
Q4661156	antihemophilic factor, human recombinant	Q29004390	Advate
Q4661156	antihemophilic factor, human recombinant	Q29005926	Helixate Nexgen
Q4661156	antihemophilic factor, human recombinant	Q29005948	Iblias
Q4661156	antihemophilic factor, human recombinant	Q29006093	Kogenate Bayer
Q4661156	antihemophilic factor, human recombinant	Q29006096	Kovaltry
Q4663143	abacavir/lamivudine	Q29006092	Kivexa
Q4663143	abacavir/lamivudine	Q47499269	Epzicom
Q4688818	afatinib	Q29005903	Giotrif
Q4688818	afatinib	Q47521650	Gilotrif
Q4689286	Aflibercept	Q29005849	Eylea
Q4689286	Aflibercept	Q29006714	Zaltrap
Q4712362	Albiglutide	Q29005811	Eperzan
Q4712900	alcaftadine	Q47521756	Lastacaft
Q4713192	alclometasone	Q47520958	Aclovate
Q4726914	Alirocumab	Q29006352	Praluent
Q4726988	Aliskiren/amlodipine/hydrochlorothiazide	Q29006402	Rasitrio
Q4726990	Aliskiren/amlodipine	Q29006399	Rasilamlo
Q4734170	alogliptin	Q29006652	Vipidia
Q4734170	alogliptin	Q47521890	Nesina
Q4735269	radium ra-223 dichloride	Q29006697	Xofigo
Q4747075	amlodipine/valsartan	Q29005665	Copalia
Q4747075	amlodipine/valsartan	Q29005691	Dafiro
Q4747075	amlodipine/valsartan	Q29005839	Exforge
Q4747075	amlodipine/valsartan	Q29005974	Imprida
Q11426176	prednisolone	Q47521616	Flo-Pred
Q11426176	prednisolone	Q47521941	Orapred
Q11426176	prednisolone	Q47521974	Pediapred
Q11426176	prednisolone	Q47522011	Pred Forte
Q11426176	prednisolone	Q47522012	Pred Mild
Q11426176	prednisolone	Q47522290	Veripred
Q11426176	prednisolone	Q48826073	Omnipred
Q11426176	prednisolone	Q48829125	Econopred Plus
Q11426176	prednisolone	Q48832113	MILLIPRED
Q13574436	Ixekizumab	Q29006528	Taltz
Q13896859	pembrolizumab	Q29006084	Keytruda
Q15149723	Nintedanib	Q29006250	Ofev
Q15149723	Nintedanib	Q29006632	Vargatef
Q15269707	palbociclib	Q29005949	Ibrance
Q1181878	decitabine	Q29005690	Dacogen
Q1182795	degarelix	Q29005873	Firmagon
Q1207210	dexmethylphenidate	Q47521471	Focalin
Q407721	buprenorphine	Q47522028	Probuphine
Q407883	Ketoconazole	Q29006082	Ketoconazole Hra
Q407927	dimethyl sulfoxide	Q47522093	Rimso-50
Q407988	clonazepam	Q47521744	Klonopin
Q408099	brivaracetam	Q29004926	Briviact
Q408155	catumaxomab	Q29006416	Removab
Q408163	anagrelide	Q47520986	Agrylin
Q408265	lorazepam	Q47521205	Ativan
Q408283	denosumab	Q29006374	Prolia
Q408283	denosumab	Q29006691	Xgeva
Q408471	paroxetine	Q47521971	Paxil
Q408471	paroxetine	Q47521984	Pexeva
Q408471	paroxetine	Q48829260	Brisdelle
Q408535	quetiapine	Q47522055	Seroquel
Q408556	levobunolol	Q47521255	Betagan
Q408557	telaprevir	Q29005978	Incivo
Q408565	rufinamide	Q29005993	Inovelon
Q408565	rufinamide	Q47521237	Banzel
Q408570	methoxsalen	Q47521953	Oxsoralen
Q408570	methoxsalen	Q47522258	Uvadex
Q408588	vilazodone	Q47522298	Viibryd
Q408637	dronedarone	Q29006188	Multaq
Q408676	piroxicam	Q47521598	Feldene
Q408717	eribulin	Q29005920	Halaven
Q408801	celecoxib	Q29006277	Onsenal
Q408801	celecoxib	Q47521333	Celebrex
Q408977	vincristine	Q47522299	Vincasar
Q409231	indomethacin	Q47521710	Indocin
Q409231	indomethacin	Q47522209	Tivorbex
Q409236	fluvoxamine	Q47521795	Luvox
Q409251	calcium acetate	Q47521989	Phoslo
Q409251	calcium acetate	Q47521990	Phoslyra
Q409251	calcium acetate	Q48826312	Calphron
Q409251	calcium acetate	Q48828221	Eliphos
Q409468	(RS)-metoprolol	Q47521783	Lopressor
Q409468	(RS)-metoprolol	Q47521829	Toprol
Q409492	cimetidine	Q47521668	Tagamet
Q409595	isocarboxazid	Q47521804	Marplan
Q409632	pentobarbital	Q47521877	Nembutal
Q409665	disulfiram	Q47521055	Antabuse
Q409697	Pegvisomant	Q29006495	Somavert
Q409712	ceftaroline fosamil	Q29006739	Zinforo
Q409712	ceftaroline fosamil	Q47522186	Teflaro
Q409729	almotriptan	Q47521010	Axert
Q409761	amantadine	Q47521662	Gocovri
Q409898	dapagliflozin	Q47521594	Farxiga
Q409935	Pegaptanib	Q29006157	Macugen
Q410061	amiodarone	Q47521892	Nexterone
Q410061	amiodarone	Q48829133	Cordarone
Q410061	amiodarone	Q48829175	Pacerone
Q410074	losartan	Q47521416	Cozaar
Q410189	Blinatumomab	Q29004905	Blincyto
Q410195	frovatriptan	Q47521638	Frova
Q410237	clopidogrel	Q29005611	Clopidogrel 1a Pharma
Q410237	clopidogrel	Q29005613	Clopidogrel Acino
Q410237	clopidogrel	Q29005615	Clopidogrel Acino Pharma
Q410237	clopidogrel	Q29005616	Clopidogrel Acino Pharma Gmbh
Q410237	clopidogrel	Q29005624	Clopidogrel Hexal
Q410237	clopidogrel	Q29005631	Clopidogrel Ratiopharm
Q410237	clopidogrel	Q29005634	Clopidogrel Ratiopharm Gmbh
Q410237	clopidogrel	Q29005636	Clopidogrel Sandoz
Q410237	clopidogrel	Q29005645	Clopidogrel Zentiva
Q410237	clopidogrel	Q29006035	Iscover
Q410237	clopidogrel	Q29006343	Plavix
Q410273	eslicarbazepine acetate	Q29005837	Exalief
Q410273	eslicarbazepine acetate	Q29006723	Zebinix
Q410291	verapamil	Q47521303	Calan
Q410291	verapamil	Q47522284	Isoptin
Q410291	verapamil	Q47522285	Verelan
Q410346	lamotrigine	Q47521753	Lamictal
Q410352	gabapentin	Q47521669	Gralise
Q410352	gabapentin	Q47521685	Horizant
Q410352	gabapentin	Q47521891	Neurontin
Q410358	salbutamol	Q47522026	ProAir
Q410358	salbutamol	Q47522044	Proventil
Q410358	salbutamol	Q47522282	Ventolin
Q410400	phenytoin	Q47521485	Dilantin
Q410400	phenytoin	Q47521987	Phenytek
Q410412	carbamazepin	Q47521315	Tegretol
Q410412	carbamazepin	Q47521316	Carbatrol
Q410412	carbamazepin	Q47521322	Carnexiv
Q410412	carbamazepin	Q48828809	Equetro
Q410441	modafinil	Q47522046	Provigil
Q410513	megestrol	Q47521810	Megace
Q410546	neostigmine	Q47521272	Bloxiverz
Q410551	boceprevir	Q29006646	Victrelis
Q410608	butabarbital	Q47521296	Butisol
Q410656	Ofatumumab	Q29004853	Arzerra
Q410663	fluoxymesterone	Q48826050	Androxy
Q410663	fluoxymesterone	Q48828902	Halotestin
Q410789	ambrisentan	Q29006667	Volibris
Q410789	ambrisentan	Q47521759	Letairis
Q410965	Insulin Detemir	Q29006123	Levemir
Q411159	famotidine	Q47521980	Pepcid
Q411159	famotidine	Q48829209	Calmicid
Q411175	Mifamurtide	Q29006170	Mepact
Q411188	aripiprazole	Q29000363	Abilify
Q411188	aripiprazole	Q29003613	Abilify Maintena
Q411188	aripiprazole	Q29004842	Aripiprazole Accord
Q411188	aripiprazole	Q29004845	Aripiprazole Mylan Pharma
Q411188	aripiprazole	Q29004847	Aripiprazole Sandoz
Q411188	aripiprazole	Q29004848	Aripiprazole Zentiva
Q411240	mifepristone	Q48829008	Korlym
Q411325	atenolol	Q47522190	Tenormin
Q411330	Varenicline	Q29004970	Champix
Q411330	Varenicline	Q47521345	Chantix
Q411377	linezolid	Q47522369	Zyvox
Q411441	hydrocodone	Q47521700	Hysingla
Q411441	hydrocodone	Q47522353	Zohydro
Q411456	methocarbamol	Q47522096	Robaxin
Q411461	pilocarpine	Q47522109	Salagen
Q411461	pilocarpine	Q48828048	Pilocar
Q411461	pilocarpine	Q48829373	Isoptocarpine
Q411478	fluconazole	Q47521484	Diflucan
Q411517	brinzolamide	Q29004881	Azopt
Q411552	doripenem	Q29005733	Doribax
Q411588	eltrombopag	Q48825972	Promacta
Q411635	permethrin	Q48828058	Elimite
Q411635	permethrin	Q48828126	Acticin
Q411707	amifampridine	Q29005871	Firdapse
Q411770	silodosin	Q29006484	Silodyx
Q411770	silodosin	Q29006622	Urorec
Q411770	silodosin	Q47522062	Rapaflo
Q411781	Teriparatide	Q29005879	Forsteo
Q411781	Teriparatide	Q47521630	Forteo
Q411787	miltefosine	Q47521707	Impavido
Q411799	levomethadyl acetate	Q29006294	Orlaam
Q411887	rivastigmine	Q29005838	Exelon
Q411887	rivastigmine	Q29006221	Nimvastid
Q411887	rivastigmine	Q29006375	Prometax
Q411887	rivastigmine	Q29006452	Rivastigmine 1 A Pharma
Q411887	rivastigmine	Q29006453	Rivastigmine 3m Health Care Ltd
Q411887	rivastigmine	Q29006455	Rivastigmine Hexal
Q411887	rivastigmine	Q29006456	Rivastigmine Sandoz
Q411887	rivastigmine	Q29006457	Rivastigmine Teva
Q411932	duloxetine	Q29004841	Ariclaim
Q411932	duloxetine	Q29005683	Cymbalta
Q411932	duloxetine	Q29005739	Duloxetine Boehringer Ingelheim
Q411932	duloxetine	Q29005741	Duloxetine Lilly
Q411932	duloxetine	Q29005742	Duloxetine Mylan
Q411932	duloxetine	Q29005744	Duloxetine Zentiva
Q411932	duloxetine	Q29006689	Xeristar
Q411932	duloxetine	Q47521721	Irenka
Q411985	(6S)-rotigotine	Q29006119	Leganto
Q411985	(6S)-rotigotine	Q29006212	Neupro
Q412133	dexmedetomidine	Q47521470	Precedex
Q412143	triazolam	Q47521675	Halcion
Q412164	clobazam	Q47521934	Onfi
Q412174	pregabalin	Q29006152	Lyrica
Q412174	pregabalin	Q29006359	Pregabalin Accord
Q412174	pregabalin	Q29006360	Pregabalin Mylan
Q412174	pregabalin	Q29006361	Pregabalin Mylan Pharma
Q412174	pregabalin	Q29006362	Pregabalin Pfizer
Q412174	pregabalin	Q29006363	Pregabalin Sandoz
Q412174	pregabalin	Q29006364	Pregabalin Sandoz Gmbh
Q412174	pregabalin	Q29006365	Pregabalin Zentiva
Q412178	tamoxifen	Q47522138	Soltamox
Q412182	stiripentol	Q29005720	Diacomit
Q412189	memantine	Q29006201	Nemdatine
Q412189	memantine	Q47521811	Namenda
Q412194	buspirone	Q47521292	Buspar
Q412197	irinotecan	Q47521310	Camptosar
Q412221	clonidine	Q47521381	Kapvay
Q412221	clonidine	Q47521512	Duraclon
Q412221	clonidine	Q48828096	Catapres-TTS-3
Q412221	clonidine	Q48828854	Catapres-TTS-2
Q412221	clonidine	Q48829285	Catapres-TTS-1
Q412236	Voriconazole	Q29006642	Vfend
Q412236	Voriconazole	Q29006668	Voriconazole Accord
Q412236	Voriconazole	Q29006669	Voriconazole Hospira
Q412318	ethambutol	Q47521574	Myambutol
Q412323	rituximab	Q29006155	Mabthera
Q412327	nilotinib	Q29006536	Tasigna
Q412443	risperidone	Q47522095	Risperdal
Q412479	mesalamine	Q47521179	Apriso
Q412479	mesalamine	Q47521196	Asacol
Q412479	mesalamine	Q47521311	Canasa
Q412479	mesalamine	Q47521445	Delzicol
Q412479	mesalamine	Q47521766	Lialda
Q412479	mesalamine	Q47521978	Pentasa
Q412479	mesalamine	Q47522100	Rowasa
Q412486	allopurinol	Q47521012	Aloprim
Q412486	allopurinol	Q47522367	Zyloprim
Q412529	rimonabant	Q29004369	Acomplia
Q412529	rimonabant	Q29006737	Zimulti
Q412534	carvedilol	Q47521403	Coreg
Q412616	trastuzumab	Q29005931	Herceptin
Q412659	perflutren	Q29006147	Luminity
Q412659	perflutren	Q29006285	Optison
Q412666	ramipril	Q47521020	Altace
Q412677	pitavastatin	Q48828245	Livalo
Q412685	Gemtuzumab ozogamicin	Q29006194	Mylotarg
Q412690	Галантамин	Q47521644	Razadyne
Q412765	Palivizumab	Q29006521	Synagis
Q412888	Drotrecogin alfa	Q29006695	Xigris
Q412909	Certolizumab pegol	Q29004978	Cimzia
Q412920	Daclizumab	Q29006730	Zenapax
Q412920	Daclizumab	Q29006738	Zinbryta
Q412939	Estramustine	Q47521544	Emcyt
Q412963	cabazitaxel	Q29006060	Jevtana
Q413184	eszopiclone	Q47521794	Lunesta
Q413299	bevacizumab	Q29004870	Avastin
Q413578	mupirocin	Q47521235	Bactroban
Q413578	mupirocin	Q48826510	Centany
Q413578	mupirocin	Q48829314	Muricin
Q413581	bromocriptine	Q47521428	Cycloset
Q413581	bromocriptine	Q47521965	Parlodel
Q413586	naftifine	Q47521864	Naftin
Q413591	sotalol	Q47522144	Sotylize
Q413591	sotalol	Q48826155	Sorine
Q413591	sotalol	Q48829279	Betapace
Q413598	prilocaine	Q47521358	Citanest
Q413621	telbivudine	Q29006470	Sebivo
Q413621	telbivudine	Q48825989	Tyzeka
Q413690	acetazolamide	Q47521475	Diamox
Q413728	cefuroxime	Q47521332	Ceftin
Q413840	tolcapone	Q29006537	Tasmar
Q413877	mivacurium	Q47521843	Mivacron
Q413879	golimumab	Q29006487	Simponi
Q413918	isoflurane	Q48826087	Isothesia
Q413918	isoflurane	Q48826145	IsoSol
Q413918	isoflurane	Q48828142	Attane
Q413918	isoflurane	Q48828234	Forane
Q413918	isoflurane	Q48828851	Terrell
Q413918	isoflurane	Q48829087	Fluriso
